ID,Group,Task,Distance,Trial_ID,Start,End,CorrectDJ,Session,Trial,DJ,DJ_Duration,Navi_Duration,side1,side2,session_start,initial_position,DC_start,DJ_start,DJ_end,navi_start,navi_end,fixation,ini_start_T,DC_start_T,DJ_start_T,rev_start_T,navi_start_T,navi_end_T
MOP001,Old,SP,Near,1,台灣彩券,寶雅,5,1,1,4,5.535,7.25,(E)台灣彩券,(F)寶雅,55:34.5,55:34.5,55:36.5,55:40.5,55:46.1,55:48.2,55:55.5,-0.5,0,1.996,6.013,11.548,13.7,13.946
MOP001,Old,SP,Near,7,爭鮮,麥當勞,8,1,2,10,5.034,23,(B)麥當勞,(H)爭鮮,55:34.5,55:58.2,56:00.2,56:04.2,56:09.3,56:11.5,56:34.5,23.149,23.649,25.664,29.684,34.718,36.952,37.183
MOP001,Old,SP,Far,24,肯德基,全國電子,20,1,3,15,2.084,46.25,(A)全國電子,(G)肯德基,55:34.5,56:37.2,56:39.2,56:43.2,56:45.3,56:47.5,57:33.7,62.146,62.646,64.663,68.667,70.751,72.947,73.199
MOP001,Old,SP,Moderate,13,全國電子,誠品,13,1,4,16,2.553,26,(A)全國電子,(C)誠品,55:34.5,57:36.4,57:38.4,57:42.4,57:45.0,57:47.2,58:13.2,121.379,121.879,123.879,127.88,130.433,132.699,132.95
MOP001,Old,SP,Far,22,誠品,星巴克,17,1,5,11,2.851,31,(C)誠品,(D)星巴克,55:34.5,58:15.9,58:17.9,58:22.0,58:24.8,58:27.0,58:58.0,160.897,161.397,163.417,167.431,170.282,172.434,172.684
MOP001,Old,SP,Moderate,14,星巴克,肯德基,14,1,6,12,3.667,14.75,(D)星巴克,(G)肯德基,55:34.5,59:00.7,59:02.7,59:06.7,59:10.4,59:12.5,59:27.2,205.666,206.166,208.185,212.215,215.882,217.937,218.184
MOP001,Old,SP,Moderate,18,麥當勞,台灣彩券,15,1,7,8,3.87,53.25,(B)麥當勞,(E)台灣彩券,55:34.5,59:29.9,59:32.0,59:36.0,59:39.8,59:42.0,00:35.2,234.899,235.399,237.417,241.431,245.301,247.448,247.698
MOP001,Old,SP,Far,23,台灣彩券,爭鮮,17,2,1,15,2.216,35,(E)台灣彩券,(H)爭鮮,00:58.6,00:58.6,01:00.6,01:04.6,01:06.8,01:09.0,01:44.0,-0.5,0,2.017,6.034,8.25,10.466,10.716
MOP001,Old,SP,Moderate,11,爭鮮,寶雅,12,2,2,15,1.388,26,(F)寶雅,(H)爭鮮,00:58.6,01:46.7,01:48.7,01:52.7,01:54.1,01:56.3,02:22.3,47.685,48.185,50.181,54.181,55.569,57.719,57.981
MOP001,Old,SP,Near,5,麥當勞,誠品,7,2,3,12,3.135,69,(B)麥當勞,(C)誠品,00:58.6,02:25.0,02:27.0,02:31.0,02:34.2,02:36.3,03:45.3,85.93,86.43,88.447,92.465,95.6,97.716,97.966
